treatment,replicate,month,day,month_adjust,host_age,day_past_infect,day_metsch_infect,day_infect,dead,missing,babies,coinf_treat,notes
10,28,June,26,-20,6,20,0,20,,,0,1,
10,29,June,26,-20,6,20,0,20,,,0,1,
10,30,June,26,-20,6,20,0,20,,,0,1,
5,10,June,27,-20,7,7,4,4,,,1,4,
5,16,June,27,-20,7,7,4,4,Y,Y,0,4,
3,9,June,27,-20,7,0,4,4,Y,Y,0,2,
1,1,June,27,-20,7,0,0,0,Y,Y,0,0,
9,1,June,28,-20,8,15,12,12,,,0,4,
9,2,June,28,-20,8,15,12,12,,,0,4,
9,3,June,28,-20,8,15,12,12,,,3,4,
9,4,June,28,-20,8,15,12,12,,,2,4,
9,6,June,28,-20,8,15,12,12,,,0,4,
9,7,June,28,-20,8,15,12,12,,,3,4,
9,8,June,28,-20,8,15,12,12,,,0,4,
9,9,June,28,-20,8,15,12,12,,,0,4,
9,10,June,28,-20,8,15,12,12,,,0,4,
9,11,June,28,-20,8,15,12,12,,,1,4,
9,12,June,28,-20,8,15,12,12,,,0,4,
9,13,June,28,-20,8,15,12,12,,,0,4,
9,14,June,28,-20,8,15,12,12,,,0,4,
9,16,June,28,-20,8,15,12,12,,,0,4,
9,15,June,28,-20,8,15,12,12,,,0,4,
9,17,June,28,-20,8,15,12,12,,,0,4,
9,18,June,28,-20,8,15,12,12,,,0,4,
9,19,June,28,-20,8,15,12,12,,,0,4,
9,20,June,28,-20,8,15,12,12,,,0,4,
9,21,June,28,-20,8,15,12,12,,,0,4,
9,22,June,28,-20,8,15,12,12,,,1,4,
9,23,June,28,-20,8,15,12,12,,,0,4,
9,24,June,28,-20,8,15,12,12,,,0,4,
9,25,June,28,-20,8,15,12,12,,,0,4,
9,26,June,28,-20,8,15,12,12,,,0,4,
9,27,June,28,-20,8,15,12,12,,,0,4,
9,28,June,28,-20,8,15,12,12,,,0,4,
9,29,June,28,-20,8,15,12,12,,,0,4,
9,30,June,28,-20,8,15,12,12,,,0,4,
10,1,June,28,-20,8,20,0,20,,,4,1,
10,2,June,28,-20,8,20,0,20,,,0,1,
10,3,June,28,-20,8,20,0,20,,,0,1,
10,4,June,28,-20,8,20,0,20,,,0,1,
10,5,June,28,-20,8,20,0,20,,,0,1,
10,6,June,28,-20,8,20,0,20,,,0,1,
10,7,June,28,-20,8,20,0,20,,,0,1,
10,8,June,28,-20,8,20,0,20,,,0,1,
10,9,June,28,-20,8,20,0,20,,,2,1,
10,10,June,28,-20,8,20,0,20,,,0,1,
10,11,June,28,-20,8,20,0,20,,,3,1,
10,12,June,28,-20,8,20,0,20,,,0,1,
10,13,June,28,-20,8,20,0,20,,,0,1,
10,14,June,28,-20,8,20,0,20,,,0,1,
10,15,June,28,-20,8,20,0,20,,,0,1,
10,16,June,28,-20,8,20,0,20,,,0,1,
10,17,June,28,-20,8,20,0,20,,,2,1,
